Airline Name,Flight Number,Number of Stops,Flight Duration,Ticket Class,Refundable Ticket,Baggage Allowance,Season,Weather Condition,Flight Price
GoAir,AI1190,0,2h 5m,Business,Yes,30kg,Spring,Stormy,12258
GoAir,AI1132,2,4h 30m,Economy,Yes,15kg,Summer,Rainy,8564
AirAsia India,AI1457,1,2h 49m,Economy,Yes,25kg,Spring,Clear,6730
AirAsia India,AI1450,0,2h 18m,Economy,No,30kg,Autumn,Foggy,4528
Vistara,AI1174,2,4h 19m,Economy,Yes,25kg,Spring,Foggy,4708
Air India,AI1245,1,2h 24m,Economy,No,20kg,Winter,Rainy,8699
Akasa Air,AI1020,2,3h 12m,Business,Yes,25kg,Winter,Stormy,10510
Vistara,AI1479,0,2h 47m,Business,No,30kg,Spring,Rainy,9111
AirAsia India,AI1257,1,3h 43m,Business,Yes,20kg,Summer,Stormy,14658
AirAsia India,AI1175,0,2h 10m,Economy,No,20kg,Spring,Snowy,4801
IndiGo,AI1294,0,1h 46m,Economy,No,20kg,Winter,Rainy,4406
IndiGo,AI1134,0,2h 23m,Economy,No,15kg,Winter,Stormy,3024
SpiceJet,AI1015,0,2h 48m,Economy,No,25kg,Autumn,Rainy,6627
Vistara,AI1410,1,2h 7m,Business,No,15kg,Summer,Windy,12359
Akasa Air,AI1371,2,3h 54m,Business,No,20kg,Summer,Foggy,6131
Vistara,AI1274,0,2h 15m,Business,Yes,20kg,Spring,Stormy,10301
AirAsia India,AI1046,2,4h 33m,Business,Yes,20kg,Summer,Clear,7866
IndiGo,AI1006,0,1h 26m,Business,Yes,20kg,Autumn,Windy,13230
SpiceJet,AI1468,2,3h 46m,Business,Yes,15kg,Winter,Clear,17589
SpiceJet,AI1211,1,3h 28m,Economy,Yes,15kg,Autumn,Foggy,6706
IndiGo,AI1495,1,2h 13m,Economy,Yes,25kg,Spring,Rainy,7443
AirAsia India,AI1178,0,2h 44m,Business,Yes,30kg,Spring,Rainy,14143
GoAir,AI1449,2,3h 10m,Economy,No,30kg,Winter,Rainy,6513
IndiGo,AI1440,2,3h 31m,Business,No,20kg,Spring,Windy,6991
Vistara,AI1189,2,3h 39m,Economy,Yes,25kg,Autumn,Foggy,9010
GoAir,AI1361,2,4h 46m,Business,No,30kg,Spring,Stormy,9045
GoAir,AI1157,0,2h 55m,Economy,No,20kg,Autumn,Windy,3780
Akasa Air,AI1132,0,1h 52m,Business,No,30kg,Spring,Windy,8928
Vistara,AI1009,0,2h 0m,Economy,Yes,15kg,Summer,Snowy,8438
SpiceJet,AI1471,1,3h 38m,Business,No,15kg,Spring,Clear,14877
Vistara,AI1238,2,4h 51m,Economy,No,15kg,Winter,Clear,7103
Air India,AI1097,0,1h 0m,Economy,No,20kg,Summer,Windy,6052
GoAir,AI1046,0,2h 3m,Economy,Yes,25kg,Summer,Clear,9140
GoAir,AI1098,2,3h 19m,Economy,No,25kg,Winter,Rainy,5151
SpiceJet,AI1342,0,2h 35m,Economy,No,25kg,Autumn,Clear,6966
SpiceJet,AI1438,2,3h 18m,Business,No,20kg,Summer,Snowy,8528
Air India,AI1435,2,4h 37m,Business,Yes,20kg,Summer,Foggy,9654
Air India,AI1336,0,2h 10m,Economy,Yes,15kg,Spring,Rainy,4159
Vistara,AI1198,0,2h 56m,Economy,Yes,30kg,Winter,Windy,4410
GoAir,AI1188,0,2h 16m,Business,Yes,20kg,Spring,Snowy,7171
SpiceJet,AI1247,2,4h 28m,Business,No,20kg,Spring,Clear,7106
Vistara,AI1408,2,3h 48m,Business,Yes,20kg,Winter,Snowy,16987
Air India,AI1386,2,4h 34m,Business,No,25kg,Autumn,Foggy,13899
Akasa Air,AI1320,1,3h 45m,Business,No,20kg,Spring,Windy,13717
Vistara,AI1241,1,3h 35m,Business,Yes,25kg,Winter,Stormy,15300
AirAsia India,AI1237,1,3h 40m,Business,No,15kg,Summer,Foggy,7179
SpiceJet,AI1453,1,2h 54m,Business,Yes,15kg,Spring,Snowy,9060
AirAsia India,AI1289,2,3h 53m,Business,Yes,15kg,Autumn,Foggy,17004
SpiceJet,AI1183,1,3h 21m,Business,No,15kg,Autumn,Snowy,11686
Akasa Air,AI1332,0,2h 41m,Economy,Yes,25kg,Spring,Clear,5244
Air India,AI1059,0,2h 34m,Business,No,30kg,Summer,Snowy,9643
IndiGo,AI1227,2,4h 8m,Economy,Yes,15kg,Summer,Windy,8399
Air India,AI1202,0,1h 2m,Business,Yes,25kg,Winter,Clear,13325
AirAsia India,AI1031,0,2h 0m,Economy,No,30kg,Summer,Foggy,5856
AirAsia India,AI1048,2,3h 5m,Economy,No,30kg,Summer,Foggy,3401
IndiGo,AI1349,0,1h 53m,Economy,Yes,25kg,Spring,Windy,4789
GoAir,AI1085,1,3h 56m,Economy,Yes,20kg,Winter,Snowy,9488
Vistara,AI1262,2,4h 5m,Business,Yes,20kg,Spring,Rainy,7988
IndiGo,AI1185,1,2h 15m,Economy,Yes,20kg,Winter,Stormy,3875
IndiGo,AI1138,0,2h 37m,Economy,No,25kg,Autumn,Windy,5682
GoAir,AI1282,2,4h 54m,Economy,No,20kg,Autumn,Windy,5980
Vistara,AI1056,1,2h 50m,Business,No,20kg,Winter,Clear,8607
Vistara,AI1447,1,2h 14m,Business,Yes,30kg,Winter,Stormy,10322
SpiceJet,AI1372,0,2h 15m,Economy,No,30kg,Summer,Foggy,4489
GoAir,AI1365,0,1h 33m,Business,Yes,30kg,Autumn,Stormy,8629
GoAir,AI1096,2,3h 21m,Economy,Yes,25kg,Winter,Rainy,9213
AirAsia India,AI1290,1,3h 37m,Business,No,30kg,Spring,Windy,6248
GoAir,AI1100,0,3h 0m,Economy,Yes,20kg,Summer,Windy,6451
Vistara,AI1217,2,4h 38m,Business,Yes,25kg,Summer,Windy,17675
Akasa Air,AI1187,2,4h 13m,Economy,Yes,15kg,Winter,Stormy,7074
Air India,AI1261,2,3h 52m,Economy,Yes,25kg,Spring,Stormy,8470
IndiGo,AI1167,2,4h 12m,Economy,No,20kg,Winter,Windy,6842
Akasa Air,AI1428,0,2h 43m,Business,No,20kg,Summer,Stormy,7038
Vistara,AI1276,0,2h 25m,Economy,Yes,25kg,Autumn,Stormy,6287
AirAsia India,AI1425,2,4h 59m,Economy,No,25kg,Summer,Foggy,7343
GoAir,AI1471,0,2h 20m,Economy,No,15kg,Summer,Clear,6787
SpiceJet,AI1105,1,2h 19m,Business,Yes,30kg,Spring,Stormy,14117
SpiceJet,AI1434,0,2h 44m,Business,No,15kg,Spring,Rainy,8895
AirAsia India,AI1119,1,2h 56m,Business,Yes,15kg,Summer,Foggy,16067
IndiGo,AI1405,2,3h 26m,Economy,Yes,15kg,Winter,Snowy,8527
SpiceJet,AI1055,1,2h 46m,Business,No,20kg,Winter,Windy,14735
GoAir,AI1369,2,4h 13m,Economy,No,30kg,Winter,Clear,5800
SpiceJet,AI1449,0,2h 58m,Business,Yes,25kg,Winter,Foggy,10483
Air India,AI1391,2,4h 28m,Economy,No,15kg,Autumn,Foggy,4965
Vistara,AI1220,0,1h 50m,Business,Yes,15kg,Autumn,Clear,16141
GoAir,AI1466,2,3h 42m,Economy,Yes,20kg,Spring,Snowy,5615
Air India,AI1299,2,3h 24m,Economy,No,30kg,Autumn,Clear,4401
AirAsia India,AI1479,1,2h 38m,Economy,Yes,25kg,Spring,Windy,9172
AirAsia India,AI1259,2,4h 47m,Economy,No,15kg,Autumn,Foggy,4081
Vistara,AI1381,0,1h 47m,Economy,Yes,30kg,Autumn,Rainy,7444
Air India,AI1354,0,2h 50m,Business,Yes,20kg,Summer,Rainy,12033
Akasa Air,AI1040,2,4h 7m,Business,No,15kg,Spring,Windy,8541
IndiGo,AI1109,2,4h 21m,Business,No,15kg,Summer,Clear,10866
IndiGo,AI1150,0,2h 13m,Business,Yes,15kg,Summer,Windy,10843
AirAsia India,AI1483,0,1h 31m,Business,Yes,15kg,Autumn,Clear,15981
Vistara,AI1281,2,4h 44m,Business,No,30kg,Autumn,Snowy,9403
Air India,AI1434,2,4h 50m,Business,No,30kg,Autumn,Snowy,10038
SpiceJet,AI1488,0,1h 44m,Economy,No,20kg,Summer,Stormy,6637
AirAsia India,AI1182,1,2h 28m,Economy,Yes,20kg,Spring,Stormy,8184
SpiceJet,AI1419,1,3h 13m,Economy,No,20kg,Spring,Windy,4413
Air India,AI1209,0,1h 56m,Economy,No,25kg,Spring,Rainy,4709
GoAir,AI1389,0,1h 44m,Business,No,15kg,Summer,Snowy,6606
Air India,AI1314,0,1h 27m,Economy,No,30kg,Winter,Stormy,4796
Air India,AI1460,2,4h 7m,Business,Yes,20kg,Summer,Stormy,7386
GoAir,AI1354,1,3h 32m,Economy,No,15kg,Summer,Windy,3392
IndiGo,AI1389,2,3h 25m,Business,No,30kg,Spring,Snowy,5363
Air India,AI1096,0,2h 17m,Business,No,30kg,Autumn,Clear,7027
Vistara,AI1242,1,3h 5m,Economy,Yes,20kg,Spring,Clear,7496
AirAsia India,AI1189,1,2h 7m,Business,Yes,15kg,Autumn,Rainy,8358
Vistara,AI1272,2,4h 31m,Business,Yes,30kg,Summer,Foggy,15616
Akasa Air,AI1094,2,3h 41m,Business,No,15kg,Winter,Rainy,11256
GoAir,AI1237,2,4h 59m,Economy,Yes,30kg,Spring,Stormy,4689
IndiGo,AI1210,2,4h 20m,Economy,Yes,15kg,Summer,Windy,9824
SpiceJet,AI1167,1,3h 58m,Economy,Yes,20kg,Autumn,Windy,4737
AirAsia India,AI1104,1,2h 42m,Business,Yes,25kg,Autumn,Stormy,11517
GoAir,AI1183,1,2h 1m,Economy,Yes,15kg,Summer,Foggy,7764
SpiceJet,AI1443,0,2h 17m,Business,Yes,15kg,Summer,Rainy,11977
AirAsia India,AI1273,1,2h 19m,Business,No,30kg,Autumn,Rainy,14897
Air India,AI1403,2,4h 10m,Economy,No,30kg,Winter,Stormy,5124
AirAsia India,AI1331,1,2h 21m,Economy,Yes,20kg,Summer,Rainy,9258
SpiceJet,AI1072,1,3h 21m,Economy,Yes,20kg,Summer,Stormy,9496
SpiceJet,AI1221,0,2h 48m,Business,Yes,20kg,Winter,Stormy,8433
SpiceJet,AI1359,0,1h 6m,Business,No,30kg,Summer,Stormy,8642
Air India,AI1280,1,2h 46m,Business,No,20kg,Winter,Windy,10258
Air India,AI1108,1,2h 23m,Business,No,20kg,Autumn,Stormy,13411
AirAsia India,AI1455,0,1h 57m,Economy,No,30kg,Summer,Foggy,3633
AirAsia India,AI1333,0,2h 43m,Business,Yes,20kg,Autumn,Snowy,8207
IndiGo,AI1265,2,3h 55m,Economy,Yes,25kg,Spring,Snowy,3998
Air India,AI1025,1,2h 52m,Business,No,30kg,Winter,Rainy,5955
AirAsia India,AI1406,0,2h 57m,Business,No,15kg,Spring,Stormy,6685
Vistara,AI1366,0,2h 7m,Business,Yes,15kg,Summer,Windy,9573
SpiceJet,AI1450,1,2h 36m,Economy,No,15kg,Autumn,Snowy,4994
GoAir,AI1380,0,1h 29m,Economy,No,30kg,Summer,Rainy,6673
SpiceJet,AI1239,2,3h 43m,Economy,No,30kg,Winter,Foggy,6383
Akasa Air,AI1465,1,3h 53m,Business,Yes,25kg,Spring,Stormy,12118
Akasa Air,AI1060,0,2h 50m,Business,No,15kg,Spring,Stormy,5203
SpiceJet,AI1437,0,1h 25m,Business,Yes,25kg,Spring,Foggy,7031
Vistara,AI1314,0,2h 39m,Business,Yes,30kg,Summer,Snowy,6281
AirAsia India,AI1396,2,3h 50m,Economy,No,20kg,Autumn,Stormy,4370
Akasa Air,AI1209,1,2h 22m,Economy,No,20kg,Summer,Rainy,6817
IndiGo,AI1110,2,4h 14m,Economy,Yes,30kg,Autumn,Clear,3974
IndiGo,AI1110,2,3h 57m,Business,No,25kg,Autumn,Rainy,10701
GoAir,AI1221,0,1h 9m,Economy,No,25kg,Summer,Snowy,5849
Vistara,AI1147,2,3h 57m,Business,Yes,20kg,Winter,Windy,17057
AirAsia India,AI1195,1,3h 18m,Economy,Yes,20kg,Spring,Stormy,4383
Air India,AI1382,2,4h 15m,Economy,Yes,30kg,Summer,Rainy,5219
SpiceJet,AI1355,0,2h 10m,Business,No,25kg,Autumn,Rainy,11336
SpiceJet,AI1318,0,2h 22m,Economy,No,25kg,Summer,Stormy,3668
GoAir,AI1444,1,2h 13m,Economy,Yes,20kg,Autumn,Windy,9963
GoAir,AI1019,2,3h 30m,Business,No,30kg,Spring,Foggy,10148
Air India,AI1377,0,2h 15m,Business,No,15kg,Summer,Clear,5805
Vistara,AI1301,1,3h 10m,Business,Yes,25kg,Autumn,Rainy,15004
Air India,AI1388,0,1h 1m,Economy,No,30kg,Summer,Rainy,4867
IndiGo,AI1447,0,2h 59m,Business,No,30kg,Summer,Clear,10074
Akasa Air,AI1294,0,2h 1m,Economy,No,20kg,Spring,Stormy,3792
Air India,AI1269,0,2h 46m,Business,Yes,20kg,Spring,Clear,6667
IndiGo,AI1286,1,3h 25m,Economy,No,20kg,Spring,Windy,3863
AirAsia India,AI1282,0,2h 41m,Economy,No,30kg,Summer,Foggy,3497
Air India,AI1453,0,1h 27m,Economy,Yes,15kg,Winter,Windy,8946
SpiceJet,AI1197,0,1h 6m,Business,No,30kg,Winter,Foggy,7759
AirAsia India,AI1455,2,4h 47m,Economy,No,25kg,Winter,Foggy,5449
Akasa Air,AI1189,1,2h 31m,Economy,Yes,25kg,Summer,Foggy,5210
Vistara,AI1004,1,3h 18m,Business,Yes,15kg,Summer,Rainy,14488
Vistara,AI1248,1,2h 16m,Economy,Yes,15kg,Autumn,Rainy,10000
SpiceJet,AI1394,0,1h 32m,Economy,No,15kg,Winter,Rainy,5566
IndiGo,AI1454,1,3h 7m,Economy,Yes,30kg,Winter,Stormy,5220
Vistara,AI1074,2,4h 38m,Economy,No,20kg,Autumn,Snowy,4880
SpiceJet,AI1114,0,1h 33m,Economy,No,20kg,Summer,Rainy,3565
GoAir,AI1394,0,1h 46m,Economy,Yes,25kg,Autumn,Clear,5168
SpiceJet,AI1040,0,2h 35m,Business,No,15kg,Summer,Foggy,6742
Vistara,AI1096,1,3h 2m,Economy,No,20kg,Spring,Snowy,7680
IndiGo,AI1440,0,2h 33m,Economy,No,15kg,Summer,Rainy,7486
SpiceJet,AI1317,1,3h 42m,Economy,No,15kg,Winter,Clear,4603
AirAsia India,AI1379,1,2h 2m,Business,No,15kg,Summer,Foggy,5761
AirAsia India,AI1137,2,4h 46m,Economy,Yes,20kg,Spring,Rainy,5463
IndiGo,AI1137,2,4h 52m,Business,Yes,20kg,Winter,Clear,7472
SpiceJet,AI1385,1,2h 22m,Business,No,30kg,Summer,Stormy,13318
SpiceJet,AI1445,0,1h 10m,Business,Yes,25kg,Spring,Foggy,5929
IndiGo,AI1155,0,2h 37m,Business,Yes,20kg,Summer,Windy,13655
IndiGo,AI1253,2,4h 54m,Business,No,30kg,Spring,Stormy,5531
Air India,AI1108,1,3h 42m,Economy,Yes,15kg,Winter,Foggy,3832
IndiGo,AI1358,1,2h 7m,Economy,Yes,20kg,Winter,Stormy,7396
IndiGo,AI1430,1,2h 53m,Economy,No,25kg,Summer,Rainy,4782
Akasa Air,AI1358,0,2h 42m,Economy,Yes,30kg,Summer,Rainy,5731
Vistara,AI1404,1,3h 45m,Business,Yes,30kg,Autumn,Stormy,14695
SpiceJet,AI1120,1,3h 56m,Business,No,20kg,Winter,Snowy,12718
AirAsia India,AI1365,2,3h 31m,Business,No,25kg,Spring,Stormy,6755
Vistara,AI1420,2,4h 33m,Business,Yes,20kg,Winter,Windy,10292
Air India,AI1338,0,1h 56m,Economy,No,15kg,Summer,Windy,5437
Air India,AI1119,1,3h 47m,Business,No,30kg,Winter,Clear,11394
Vistara,AI1432,1,3h 35m,Economy,Yes,30kg,Winter,Snowy,4378
Akasa Air,AI1065,2,3h 24m,Business,Yes,20kg,Winter,Foggy,16035
Vistara,AI1480,0,1h 10m,Business,No,15kg,Winter,Clear,6802
IndiGo,AI1241,0,2h 40m,Economy,Yes,20kg,Spring,Clear,5809
Air India,AI1458,0,2h 1m,Economy,No,30kg,Summer,Foggy,5043
Vistara,AI1468,2,4h 22m,Economy,Yes,15kg,Winter,Stormy,7416
Air India,AI1160,0,2h 23m,Business,Yes,30kg,Summer,Stormy,7793
AirAsia India,AI1342,1,2h 5m,Business,No,20kg,Winter,Stormy,6295
SpiceJet,AI1404,1,2h 47m,Business,No,20kg,Summer,Foggy,10852
Air India,AI1222,0,2h 1m,Economy,Yes,15kg,Autumn,Stormy,8055
IndiGo,AI1239,0,1h 41m,Economy,Yes,30kg,Summer,Snowy,3906
Akasa Air,AI1145,2,4h 53m,Business,Yes,20kg,Summer,Snowy,12088
GoAir,AI1018,1,2h 18m,Economy,No,30kg,Summer,Clear,6219
GoAir,AI1300,0,2h 38m,Business,No,15kg,Autumn,Snowy,11847
Vistara,AI1298,1,3h 3m,Business,Yes,20kg,Winter,Rainy,12709
AirAsia India,AI1129,2,4h 57m,Economy,Yes,15kg,Winter,Foggy,7132
Air India,AI1073,2,4h 48m,Economy,No,30kg,Winter,Stormy,6789
IndiGo,AI1380,2,3h 6m,Economy,Yes,25kg,Spring,Foggy,5657
Air India,AI1070,2,3h 56m,Economy,No,15kg,Winter,Windy,8061
AirAsia India,AI1487,0,1h 31m,Economy,Yes,20kg,Summer,Clear,9348
IndiGo,AI1065,2,4h 44m,Economy,Yes,20kg,Spring,Snowy,7303
Air India,AI1399,0,1h 2m,Economy,Yes,30kg,Summer,Stormy,8009
IndiGo,AI1043,0,2h 34m,Business,No,20kg,Summer,Windy,8269
SpiceJet,AI1364,2,4h 36m,Business,No,30kg,Winter,Stormy,10700
Vistara,AI1043,2,4h 9m,Business,Yes,25kg,Spring,Foggy,9887
Vistara,AI1340,1,3h 19m,Economy,Yes,30kg,Spring,Snowy,8697
AirAsia India,AI1430,0,2h 46m,Economy,Yes,20kg,Winter,Stormy,5137
Air India,AI1048,2,4h 36m,Economy,Yes,15kg,Winter,Rainy,8820
Vistara,AI1396,2,4h 14m,Economy,Yes,15kg,Winter,Snowy,4363
SpiceJet,AI1395,1,2h 55m,Economy,No,25kg,Autumn,Stormy,7775
Air India,AI1271,2,4h 21m,Economy,No,20kg,Winter,Snowy,3713
Akasa Air,AI1323,1,3h 39m,Business,Yes,15kg,Spring,Clear,11628
Akasa Air,AI1093,2,4h 36m,Economy,No,30kg,Summer,Clear,7998
AirAsia India,AI1435,2,4h 23m,Business,No,15kg,Spring,Windy,12923
IndiGo,AI1056,0,1h 21m,Economy,No,15kg,Winter,Foggy,6080
Vistara,AI1357,1,3h 42m,Economy,No,20kg,Autumn,Foggy,3322
SpiceJet,AI1050,0,1h 15m,Economy,No,20kg,Winter,Rainy,7523
Vistara,AI1076,1,2h 58m,Economy,No,25kg,Autumn,Stormy,6218
Vistara,AI1155,2,3h 0m,Economy,No,15kg,Summer,Snowy,6789
Vistara,AI1491,0,1h 27m,Economy,No,25kg,Summer,Snowy,5772
Vistara,AI1360,0,1h 6m,Economy,No,25kg,Spring,Foggy,2751
Vistara,AI1286,2,3h 51m,Business,No,25kg,Winter,Clear,8670
GoAir,AI1492,1,2h 18m,Economy,Yes,25kg,Winter,Stormy,5433
AirAsia India,AI1030,0,2h 54m,Business,No,15kg,Winter,Rainy,14391
Vistara,AI1018,2,4h 41m,Economy,No,20kg,Winter,Snowy,5541
GoAir,AI1097,0,1h 56m,Business,No,25kg,Spring,Snowy,9718
GoAir,AI1198,0,1h 56m,Business,No,30kg,Summer,Stormy,12174
Vistara,AI1446,2,4h 14m,Economy,Yes,30kg,Autumn,Windy,10356
SpiceJet,AI1200,0,2h 32m,Business,Yes,30kg,Autumn,Stormy,14706
AirAsia India,AI1453,0,1h 31m,Business,Yes,25kg,Autumn,Clear,10398
Air India,AI1380,1,3h 6m,Economy,Yes,25kg,Summer,Rainy,6937
Akasa Air,AI1474,1,3h 1m,Economy,Yes,20kg,Autumn,Stormy,6068
Air India,AI1397,2,3h 45m,Economy,No,25kg,Spring,Clear,8741
Vistara,AI1224,1,3h 21m,Business,No,25kg,Summer,Snowy,12826
AirAsia India,AI1488,2,3h 11m,Economy,No,20kg,Spring,Foggy,6682
GoAir,AI1085,1,3h 5m,Business,Yes,30kg,Winter,Foggy,6994
SpiceJet,AI1066,2,3h 36m,Economy,No,15kg,Spring,Snowy,4589
Akasa Air,AI1175,0,2h 37m,Economy,Yes,25kg,Winter,Foggy,3264
Vistara,AI1303,0,2h 49m,Business,No,15kg,Spring,Stormy,10126
IndiGo,AI1082,0,1h 18m,Business,Yes,15kg,Winter,Snowy,8471
Vistara,AI1470,0,1h 22m,Economy,No,30kg,Autumn,Windy,6563
IndiGo,AI1417,0,1h 45m,Economy,Yes,20kg,Spring,Stormy,7695
Akasa Air,AI1214,1,2h 7m,Business,Yes,30kg,Autumn,Snowy,15839
GoAir,AI1488,1,3h 29m,Economy,Yes,30kg,Winter,Rainy,8325
SpiceJet,AI1392,0,1h 35m,Business,No,15kg,Autumn,Snowy,11129
IndiGo,AI1218,0,1h 32m,Economy,No,20kg,Spring,Snowy,3531
Vistara,AI1480,0,1h 40m,Economy,No,30kg,Summer,Rainy,7850
IndiGo,AI1176,1,2h 55m,Business,Yes,25kg,Spring,Snowy,15302
Air India,AI1493,0,2h 50m,Business,Yes,20kg,Autumn,Stormy,15097
IndiGo,AI1125,0,1h 36m,Business,No,30kg,Summer,Snowy,10455
Air India,AI1359,0,2h 9m,Economy,Yes,25kg,Winter,Clear,5755
IndiGo,AI1086,0,1h 15m,Business,No,30kg,Summer,Windy,11269
Vistara,AI1115,0,2h 13m,Economy,No,15kg,Autumn,Foggy,7050
Akasa Air,AI1210,2,4h 30m,Business,Yes,30kg,Autumn,Windy,8392
IndiGo,AI1271,1,2h 35m,Business,No,25kg,Spring,Foggy,7322
SpiceJet,AI1390,0,2h 34m,Economy,Yes,20kg,Winter,Windy,7185
IndiGo,AI1493,1,2h 38m,Business,Yes,30kg,Winter,Clear,12367
Vistara,AI1033,2,3h 45m,Economy,No,30kg,Spring,Rainy,4645
AirAsia India,AI1267,1,2h 10m,Economy,Yes,30kg,Autumn,Clear,9980
GoAir,AI1330,0,1h 35m,Economy,No,25kg,Summer,Snowy,4608
IndiGo,AI1234,1,3h 20m,Economy,Yes,30kg,Winter,Stormy,9211
Air India,AI1462,1,2h 37m,Economy,No,25kg,Winter,Clear,3813
GoAir,AI1312,2,4h 36m,Economy,Yes,20kg,Summer,Clear,5120
Akasa Air,AI1363,2,4h 21m,Business,No,30kg,Winter,Rainy,12598
GoAir,AI1209,2,4h 1m,Economy,Yes,25kg,Summer,Foggy,6405
SpiceJet,AI1373,2,4h 34m,Business,No,25kg,Winter,Stormy,8375
GoAir,AI1272,2,3h 43m,Business,Yes,15kg,Autumn,Foggy,16187
GoAir,AI1183,0,2h 17m,Business,Yes,25kg,Spring,Rainy,11806
AirAsia India,AI1145,1,3h 48m,Business,No,20kg,Autumn,Clear,7294
IndiGo,AI1318,0,1h 52m,Business,No,30kg,Autumn,Clear,9966
IndiGo,AI1420,0,1h 39m,Economy,No,20kg,Spring,Snowy,5712
Vistara,AI1464,2,3h 54m,Economy,No,25kg,Autumn,Rainy,6536
SpiceJet,AI1208,1,2h 18m,Business,No,25kg,Spring,Snowy,13972
Akasa Air,AI1482,0,2h 44m,Business,No,15kg,Spring,Stormy,5159
IndiGo,AI1389,1,3h 31m,Business,No,20kg,Winter,Windy,11735
IndiGo,AI1130,0,2h 36m,Business,Yes,25kg,Winter,Stormy,12455
Air India,AI1061,1,3h 40m,Business,Yes,15kg,Autumn,Snowy,10022
SpiceJet,AI1049,0,1h 54m,Economy,No,25kg,Spring,Foggy,5365
Vistara,AI1020,1,2h 3m,Business,Yes,25kg,Spring,Clear,17651
Air India,AI1255,1,3h 26m,Business,Yes,20kg,Summer,Clear,11034
GoAir,AI1041,2,3h 2m,Economy,No,20kg,Summer,Rainy,6844
GoAir,AI1098,2,4h 50m,Economy,No,25kg,Summer,Snowy,6459
GoAir,AI1015,1,2h 50m,Economy,Yes,30kg,Summer,Stormy,5155
Vistara,AI1329,0,2h 18m,Business,Yes,25kg,Summer,Windy,11190
GoAir,AI1451,0,2h 33m,Economy,No,20kg,Spring,Clear,4474
AirAsia India,AI1133,1,2h 7m,Business,No,30kg,Winter,Clear,11717
Vistara,AI1499,0,1h 34m,Economy,Yes,20kg,Summer,Stormy,6252
Air India,AI1095,1,2h 37m,Economy,No,15kg,Autumn,Stormy,5865
SpiceJet,AI1043,2,4h 0m,Business,Yes,25kg,Winter,Stormy,13563
Akasa Air,AI1243,0,2h 33m,Business,Yes,15kg,Spring,Windy,11605
IndiGo,AI1387,1,2h 2m,Business,Yes,25kg,Summer,Clear,10036
SpiceJet,AI1449,1,2h 17m,Business,No,15kg,Winter,Snowy,7949
Vistara,AI1103,1,2h 15m,Business,No,30kg,Winter,Foggy,7707
GoAir,AI1167,1,3h 57m,Business,Yes,25kg,Autumn,Windy,16356
Air India,AI1373,2,4h 12m,Economy,No,20kg,Summer,Windy,5124
AirAsia India,AI1303,0,2h 28m,Business,No,20kg,Autumn,Clear,12387
IndiGo,AI1037,0,2h 37m,Business,No,30kg,Winter,Rainy,11480
Akasa Air,AI1433,0,2h 35m,Economy,Yes,30kg,Summer,Clear,6428
Air India,AI1430,2,3h 1m,Business,Yes,25kg,Autumn,Stormy,15184
Air India,AI1442,1,3h 54m,Business,No,15kg,Spring,Foggy,11322
IndiGo,AI1226,0,2h 56m,Economy,No,25kg,Summer,Foggy,4148
AirAsia India,AI1496,1,2h 34m,Economy,No,15kg,Autumn,Snowy,6111
SpiceJet,AI1088,2,4h 56m,Business,No,30kg,Autumn,Snowy,8115
SpiceJet,AI1145,2,3h 20m,Business,Yes,20kg,Winter,Snowy,14692
Air India,AI1461,0,2h 8m,Economy,Yes,20kg,Summer,Snowy,4278
Air India,AI1279,2,3h 5m,Economy,No,30kg,Summer,Stormy,4788
GoAir,AI1284,1,2h 53m,Economy,No,30kg,Autumn,Clear,7701
AirAsia India,AI1310,0,1h 25m,Business,Yes,25kg,Spring,Windy,8227
SpiceJet,AI1023,2,4h 35m,Economy,No,20kg,Spring,Rainy,5637
SpiceJet,AI1216,1,2h 28m,Economy,No,30kg,Winter,Clear,7057
AirAsia India,AI1033,2,4h 14m,Business,Yes,30kg,Summer,Foggy,8508
GoAir,AI1219,0,2h 46m,Economy,No,25kg,Autumn,Clear,6254
AirAsia India,AI1175,0,1h 36m,Business,Yes,20kg,Winter,Windy,11275
IndiGo,AI1318,0,1h 38m,Business,Yes,20kg,Spring,Snowy,11492
Air India,AI1252,1,2h 29m,Economy,No,25kg,Winter,Rainy,3371
Air India,AI1266,2,3h 30m,Business,No,30kg,Winter,Windy,6583
GoAir,AI1373,1,3h 37m,Business,No,30kg,Autumn,Snowy,7855
SpiceJet,AI1452,1,3h 18m,Business,No,20kg,Winter,Windy,13671
